                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0349,                 5.0821,                 2.0202,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                  0.091,                  0.001,                  0.001
                      1,                 2.4012,                 4.6147,                 1.4439,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.080961,              0.0019614,              0.0019614
                      2,                 2.1704,                 3.8631,                 1.3223,                0.00495,                0.10045,                0.06811,                0.02645,                      0,                    inf,                      0,               0.070778,              0.0027776,              0.0027776
                      3,                 2.1745,                 2.9672,                 1.2696,                0.02502,                0.44176,                0.29382,                0.10381,                      0,                    inf,                      0,               0.060449,              0.0034486,              0.0034486
                      4,                 2.1575,                 2.3899,                 1.2584,                0.02955,                0.62584,                0.39865,                0.22795,                      0,                    inf,                      0,               0.049974,              0.0039744,              0.0039744
                      5,                 1.9246,                 1.9824,                 1.2866,                0.02964,                 0.7481,                0.41464,                0.19781,                      0,                    inf,                      0,               0.039355,               0.004355,               0.004355
                      6,                 1.8583,                 1.7477,                 1.2696,                0.03366,                0.78116,                0.48099,                0.21195,                      0,                    inf,                      0,                0.02859,              0.0045904,              0.0045904
                      7,                 1.7902,                  1.628,                 1.2494,                 0.7128,                0.38165,                0.52321,                 0.1979,                      0,                    inf,                      0,               0.017681,              0.0046806,              0.0046806
                      8,                 1.7896,                 1.5872,                 1.2153,                0.72788,                0.40355,                0.54327,                0.24892,                      0,                    inf,                      0,              0.0066256,              0.0046256,              0.0046256
                      9,                 1.7048,                 1.5434,                 1.2072,                0.72987,                 0.5144,                0.55989,                0.27136,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     10,                 1.6584,                 1.4734,                 1.1912,                0.67575,                0.67197,                0.54267,                 0.2426,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     11,                  1.639,                 1.4368,                 1.1513,                 0.7072,                0.71845,                0.58316,                0.30947,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                     12,                  1.554,                 1.3973,                  1.148,                0.59913,                0.69725,                0.58019,                0.30179,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                     13,                 1.5472,                 1.3835,                  1.151,                0.60387,                0.69991,                0.58251,                0.29408,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     14,                 1.4882,                 1.3349,                 1.1291,                0.53039,                0.72097,                0.58969,                0.30406,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
